"Player,Nation,Pos,Squad,League,Age,Min,Gls_90,Ast_90,GA_90,Sh_90,SoT_90,SoT_pct,G_per_Sh,Salah_Score,Salah_Euclidean,KDB_Score,KDB_Euclidean,Outlier_Count,Is_Outlier,PC1,PC2,Cluster,Cluster_Label,Salah_Cosine,KDB_Cosine,Salah_Euc_Sim,KDB_Euc_Sim,Market_Value_M"
"Daan Rots,nl NED,MF,Twente,Eredivisie,23.0,2173,0.1243,0.2485,0.3728,1.9466,0.7041,36.17,0.0638,0.4415,4.672228754810712,0.6095,5.2859007979640005,0,False,0.7811941015845844,1.5336288018706326,2,Creative Playmaker,0.618221701276798,0.909790952431744,0.1762975442680945,0.1590861886213507,2.5"
"Dan Neil,eng ENG,MF,Sunderland,EFL Championship,22.0,3877,0.0464,0.0696,0.1161,0.5571,0.1161,20.83,0.0833,-0.3589,7.329400778376113,-0.338,8.566407206168494,0,False,-2.1070879452715925,-0.1425856101268229,1,Low Volume Player,-0.6782457948635985,-0.632996552192332,0.120056655527501,0.1045324517813952,"
"Danilo Veiga,pt POR,MF,Estrela,Primeira Liga,21.0,1280,0.0,0.1406,0.1406,0.1406,0.0,0.0,0.0,-0.2492,8.379310146555975,-0.1498,9.101185176888656,1,True,-3.380353014010348,1.5719018721353064,1,Low Volume Player,-0.4863595023651501,-0.3157305191416979,0.1066176493126409,0.0989982841110549,"
"Danny Loader,cm CMR,FW,Porto,Primeira Liga,23.0,1071,0.2521,0.084,0.3361,2.521,1.0924,43.33,0.1,0.3356,5.015170170211164,0.2995,6.3758401341390245,0,False,1.7928543481290968,-0.2576332464561252,2,Creative Playmaker,0.4484981091219142,0.4087927676935247,0.1662463357981599,0.1355777757941779,"
"Darko Gyabi,eng ENG,MF,Plymouth Argyle,EFL Championship,20.0,2841,0.0317,0.0634,0.095,1.0454,0.2851,27.27,0.0303,-0.4775,7.319813658901934,-0.3475,8.310455326564599,0,False,-1.8576709267565008,0.0937409236774846,1,Low Volume Player,-0.8758948094459345,-0.6507098008303207,0.1201949996716611,0.1074061326675183,"
"Dave Kwakman,nl NED,MF,Groningen,Eredivisie,19.0,1029,0.1749,0.0,0.1749,1.312,0.4373,33.33,0.1333,-0.2684,6.443566683697849,-0.4667,8.151896154709002,0,False,-0.4291710160766268,-1.280566854422103,0,Active Forward,-0.5368899842135777,-0.8506382666248553,0.1343441984862041,0.1092669740888025,"
"Demir Ege Tıknaz,tr TUR,MF,Rio Ave,Primeira Liga,19.0,1976,0.1822,0.0911,0.2733,0.501,0.2733,54.55,0.3636,0.2198,6.239935204143894,0.0173,8.540594180563742,1,True,1.2157610566809711,-2.828883042285629,0,Active Forward,0.2741745913468022,-0.0410273668158258,0.1381227831193342,0.1048152747170838,"
"Denilho Cleonise,nl NED,MF,RKC Waalwijk,Eredivisie,22.0,1102,0.0817,0.1633,0.245,1.3067,0.3267,25.0,0.0625,-0.0766,6.046002194505567,0.0899,6.990667471676099,0,False,-0.8899341731144338,0.9196920017948156,1,Low Volume Player,-0.222207149361576,0.0664503914219312,0.1419244519650865,0.1251459910632776,"
"Diogo Travassos,pt POR,MF,Estrela,Primeira Liga,20.0,1726,0.0521,0.0,0.0521,0.8343,0.2086,25.0,0.0625,-0.5067,7.722581182777361,-0.4882,8.994578673660447,0,False,-2.1351926366222864,-0.688103521900241,1,Low Volume Player,-0.9209933436376024,-0.8803974503443079,0.1146449633480613,0.1000542426701171,"
"Dirk Proper,nl NED,MF,NEC Nijmegen,Eredivisie,22.0,2159,0.0,0.0417,0.0417,0.7087,0.1667,23.53,0.0,-0.4742,8.070238015392457,-0.3571,8.987494673147976,0,False,-2.6715075970112885,0.1226689196056365,1,Low Volume Player,-0.8637527738379576,-0.6618977234695751,0.1102506900373475,0.100125209847527,"
